,Area (sq ft),Bedrooms,Bathrooms,Garage Spaces,Age (years),Floors,Lot Size (sq ft),Nearby Schools Rating,Crime Rate (per 1000),Median Income ($1000s),Price ($1000s)
354,3639,2,3,1,42,3,4676,3,4.237385079831236,103,1814.928463112983
355,1135,3,3,2,18,1,7109,6,2.5343895419121623,49,1306.6568362452754
356,1695,1,1,2,20,2,6397,9,4.81944812538246,84,1490.0112226722708
357,4346,6,3,1,48,1,4065,9,9.212675776077493,43,2075.946980053417
358,1651,1,2,0,25,1,3036,4,7.267444225956698,109,1185.540429246722
359,2487,5,3,1,38,3,4046,5,6.653300906150943,125,1597.0635993795354
360,2731,4,2,0,13,1,1540,9,4.468334176668656,96,1670.4738352248148
361,4546,3,3,0,4,1,1076,2,6.744013733906915,87,2019.3437826695922
362,3227,6,4,0,14,2,4067,2,0.42051623501664015,128,1908.1914097248145
363,2368,3,4,0,33,1,1023,5,5.903762853095955,116,1376.5544244405585
364,4800,3,1,1,28,3,6134,1,5.582387969732557,111,2231.5178526938703
365,3538,1,3,2,37,3,1675,8,3.531740276435609,107,1800.412408910803
366,4298,4,2,2,8,3,7668,5,2.0949898416986734,69,2347.9345499728506
367,4713,5,2,2,44,1,5267,2,8.09479995489308,122,2177.4348216550534
368,1866,2,3,2,34,2,6988,9,0.6332349331054551,131,1700.3674116308405
369,3244,2,2,2,44,3,8652,2,0.789761357793519,65,1757.5233769553704
370,4907,3,4,2,5,1,9680,7,4.461165265443051,30,2626.2187152229717
371,4173,4,2,1,5,3,2485,8,2.60029001934519,31,2075.7826371592523
372,4769,6,1,0,31,3,4659,6,7.479978893719502,83,2265.7380710786274
373,3346,1,4,2,45,2,3419,7,6.378481761519791,27,1616.293700297693
374,1553,4,4,1,9,3,8740,1,7.748094481653651,28,1403.5420629495509
375,2882,4,4,2,42,2,8143,4,3.314321667744231,149,1942.4759556302624
376,3574,1,3,2,32,1,4495,7,7.431137502216887,97,1912.0089911189255
377,3696,3,3,0,33,3,1756,1,8.636802036661349,21,1503.4222910491903
378,4985,4,4,0,3,1,9448,1,3.51821749474386,93,2614.0105661935663
379,1575,2,3,0,30,1,2779,6,3.4649686295021507,106,1240.5928644535102
380,2425,1,2,2,12,1,7487,4,9.009518898673619,24,1549.1548035505816
381,3869,6,3,2,29,3,1258,3,0.5929235065583205,33,1725.6810259848257
382,1217,5,3,2,3,2,5075,5,3.566875116735359,143,1511.5659935208691
383,914,3,4,0,26,3,9498,9,1.2748576715108606,62,1449.2122168958285
384,1416,1,1,1,30,1,9014,3,0.3869078434747647,47,1226.945322036944
385,4774,5,1,2,9,2,2118,5,1.2174072347035392,43,2135.5544509873084
386,4067,5,1,2,26,1,8631,5,4.369333332684741,36,2150.8974887633212
387,1625,6,2,2,2,2,4017,9,6.900865085355128,102,1612.7768597491468
388,2316,4,3,1,3,3,5341,4,2.9638960019754332,64,1648.8562557894786
389,3946,6,1,2,46,2,2658,1,8.511785543271134,93,1725.6215675516082
390,1212,4,4,1,4,3,9378,5,4.432394724509665,80,1580.3813831788686
391,1528,4,1,2,25,1,2797,1,9.685457704521262,57,987.7444059448402
392,4148,1,1,1,13,2,1784,6,9.54614112749263,85,1938.8445104614643
393,3608,1,3,2,39,1,6691,7,7.755434604401469,52,1919.3002131495148
394,1475,3,3,0,44,2,4196,1,9.33081441185152,62,983.848274373695
395,4265,4,3,0,35,3,9532,4,7.100251153995004,131,2390.376384674608
396,3304,5,2,0,23,2,1562,9,8.966273580912695,54,1734.0456463513217
397,3767,2,2,0,9,2,5746,1,2.4410898019264344,56,1870.7551699864446
398,3586,3,1,2,2,3,3999,9,3.5196599817503067,119,2164.4060948172123
399,1922,1,3,0,41,3,2193,8,7.55400765344813,42,1162.6208095883292
400,4879,6,1,1,44,3,1068,5,4.303156258244915,108,2103.385497088565
401,2371,3,4,0,31,2,6679,6,8.389541594862727,34,1534.943222012844
402,2943,3,4,0,44,1,3428,7,8.788624828718973,41,1514.0455123292782
403,2487,3,3,0,47,2,7200,4,3.0673218987371564,97,1567.4200626719853
404,4932,3,3,2,2,2,6396,6,8.252163001076777,91,2561.8737605317647
405,4651,2,4,0,32,1,7993,7,1.6272162835449857,117,2489.157481334478
406,4240,6,3,1,18,3,4598,6,3.408547444214806,109,2281.193341723388
407,4566,6,2,0,13,2,1573,6,5.227853016101751,128,2237.472894660395
408,3126,6,2,0,46,1,5214,2,2.3417932448285326,113,1671.5627398701272
409,3714,4,3,0,5,3,8636,5,5.8347515127944725,99,2303.405633404262
410,4752,5,4,1,42,3,2478,3,5.829081279304701,113,2153.1947160965756
411,1395,6,1,0,44,2,7127,7,2.148338659023967,99,1383.7038821367698
412,1528,3,3,1,10,3,7676,4,7.976849314366021,57,1451.016726814489
413,2165,3,3,1,43,3,3196,1,6.3532804451738185,45,1148.1124603581336
414,1498,6,1,0,25,1,9166,6,3.2458290175670474,120,1583.2433568586923
415,1195,6,3,1,34,1,9846,6,2.3986293563558903,94,1501.7538621561926
416,4971,3,1,2,37,3,7050,7,8.799626374461486,57,2353.1933956476178
417,3302,4,4,0,30,1,5650,8,8.37384822772406,102,1991.3895862013737
418,2619,1,2,0,7,3,9484,3,2.3746306810697106,75,1811.1556191021248
419,1517,1,4,1,6,2,5526,6,0.4524917425134368,124,1534.6559031980908
420,3582,6,2,1,3,1,5412,2,8.064872697856927,50,1927.4124469535313
421,4377,2,1,0,13,3,6443,9,6.193534697123926,77,2307.684465320243
422,943,6,2,2,3,3,9787,2,1.098732077729251,92,1477.6492160557182
423,3940,6,4,1,26,1,3593,3,5.914846241567061,29,1865.476399545994
424,3738,1,2,1,24,1,7852,2,4.576608585080773,92,1970.5917241517625
425,4436,3,1,2,6,2,7629,9,7.768048241989546,34,2391.6052677201515
426,4022,6,2,2,43,3,4869,1,2.1699399373714274,117,1984.9322315521488
427,1967,3,3,0,49,2,8971,5,4.586251768619762,82,1504.0997149626644
428,3416,3,4,2,42,2,8822,1,1.646816731093976,38,1839.9842159427317
429,1862,2,3,0,12,2,3989,5,9.579519555327382,132,1487.3998332277708
430,2956,3,1,2,49,1,8062,8,7.809507753559124,82,1810.9422498875563
431,3782,1,2,1,36,2,6340,8,7.393552022363825,135,2126.8501968499177
432,4094,4,3,0,2,1,4823,8,6.93304598370594,40,2187.9170914318047
433,1956,4,3,0,11,1,4932,2,4.291030780417178,100,1461.6721577748563
434,1532,5,2,0,39,2,9554,8,9.240495915461134,85,1565.5618989321765
435,1753,6,2,2,34,2,3429,5,0.8218784180773534,84,1318.848300716008
436,3339,1,4,1,26,3,8444,1,8.052264809621624,62,1839.5089333168994
437,4124,3,3,0,18,2,8147,7,2.2308040478467537,76,2321.2376677623347
438,4101,4,3,0,21,3,8631,6,3.3078767607750956,56,2283.023595812392
439,2342,1,1,0,36,2,4598,5,5.242354316776352,139,1492.7938207867721
440,1991,4,4,0,40,2,5329,1,7.848284609450237,88,1296.7144371127786
441,3793,3,1,1,46,2,7718,1,8.401495585771993,75,1834.3777235055795
442,3481,4,3,2,44,2,9218,6,5.878949276585236,138,2192.4472218458286
443,2017,6,1,1,22,3,1092,7,4.090051340453384,74,1327.4212372778122
444,2340,6,3,0,30,3,9500,1,9.47037397189178,57,1615.0449384953845
445,4036,5,3,1,43,2,1051,9,2.5405608288097468,34,1852.4490320303096
446,3186,5,1,0,30,2,1318,4,8.05063630121829,96,1554.0470522845303
447,4519,4,1,2,8,3,6688,5,6.1592912523367165,72,2362.158770314277
448,2188,1,2,2,34,1,8018,2,3.8312606671636167,26,1348.8481003112302
449,2656,6,2,2,47,1,8210,8,0.11354304519901433,74,1823.921612387279
450,2165,1,2,0,9,1,4956,2,4.521333083351405,71,1378.6202961165704
451,1299,1,3,1,20,3,7057,3,2.839527975668763,23,1155.7262481021528
452,2480,4,1,2,40,3,7875,9,1.13303147192305,62,1758.3885003564556
453,1310,1,4,0,25,1,5431,2,0.84406979684704,59,1093.0821024176512
454,2124,6,3,0,19,1,2525,6,3.54082744038486,140,1576.9562333261233
455,1955,3,4,1,5,2,8043,4,6.1860981485324205,49,1594.4561476615302
456,2627,5,1,2,11,3,2278,7,8.39144122211126,122,1705.8532126472974
457,3941,3,3,0,15,3,9705,6,1.9172761249785364,26,2246.9867355957026
458,4286,1,4,1,8,1,7125,9,4.303975315959591,128,2514.386726023165
459,2610,3,4,2,19,1,8874,9,3.980365787407307,39,1915.8836043427982
460,3723,6,2,1,23,3,7900,4,5.182600691164304,68,2101.839863036681
461,3014,6,2,1,27,2,3500,1,8.114913981014572,115,1648.4560417946407
462,4986,1,2,0,40,1,4464,2,5.581087658192424,78,2066.4415355642536
463,1513,4,3,0,32,3,3259,8,8.481883643672711,109,1327.2689190879676
464,4402,3,1,0,26,3,8496,8,5.233662385082879,45,2310.891293206686
465,4934,4,1,1,27,2,3659,2,6.078088915294587,55,2074.393065541028
466,4322,4,2,0,19,2,1255,4,4.4300941006805985,145,2070.496307364014
467,2043,2,2,1,42,1,2502,1,8.248646244926773,62,1012.7523189261983
468,4509,1,2,1,29,1,5656,7,9.245889343010061,118,2246.971450496149
469,1881,5,4,0,39,1,6430,4,6.427532907419142,52,1370.1457916687507
470,1255,6,2,2,41,3,9598,8,8.225746246811749,119,1595.6979369090625
471,1694,6,4,2,33,1,4176,9,0.6841330065910929,116,1566.6685059703993
472,2184,1,1,2,19,3,2860,9,9.07050633932191,64,1427.271296826715
473,2758,5,3,1,37,1,7158,3,1.9703581617073336,107,1746.1369344234008
474,3872,6,3,1,19,2,6806,5,2.639552230525499,114,2242.898415650449
475,2796,1,3,1,33,2,5354,6,0.6279676752467878,36,1563.7695828005121
476,1304,6,3,0,47,3,1722,6,9.657461158043184,41,959.7564583226509
477,2014,4,4,1,16,2,8579,8,8.534907409934926,109,1862.3584552554141
478,2331,3,4,0,23,3,1613,6,9.140527580501729,97,1453.5396467012515
479,4240,3,2,0,7,3,4331,6,8.487440060824149,133,2278.096655222185
480,1623,6,4,2,26,2,6790,4,4.847352471940759,87,1500.3224923989271
481,1728,2,2,2,32,3,4116,7,9.248411147498558,129,1411.443879569475
482,933,5,2,2,12,2,1330,8,9.697780922229164,144,1245.8407501814336
483,2905,5,3,0,8,1,3212,3,5.075413070215036,76,1679.9453661190714
484,4427,5,4,0,5,1,6493,7,1.8386853351554981,74,2440.4625608896426
485,2652,4,4,0,42,2,8232,3,6.620362838734634,101,1735.4817102514196
486,4975,5,2,1,28,2,6614,8,9.756839069550349,126,2596.149174638015
487,3733,3,2,0,5,2,6913,1,8.734253912602862,121,2072.5998983948434
488,4084,4,1,2,49,2,6913,1,8.631970243844485,130,1988.0831980158978
489,3611,1,1,2,26,1,6611,6,9.344798366392093,126,2025.8881308394598
490,2050,5,2,0,5,3,1319,9,8.950127379470215,121,1580.813580176094
491,4312,5,1,0,22,3,9085,4,7.7851884737810995,22,2190.2318552883867
492,2056,1,1,2,15,1,5200,6,7.210901038402089,44,1403.344529654937
493,4176,5,2,0,13,3,5791,5,2.721195020073068,94,2232.5725928778456
494,4286,1,2,2,28,1,1329,1,6.251266212141648,80,1748.2793538924657
495,4384,4,4,1,33,3,9851,6,5.262737354888306,142,2576.5881698589424
496,2196,3,2,2,43,2,7742,9,8.633246506651812,74,1638.8521423834525
497,4437,1,2,1,23,2,5916,3,4.967954477551713,58,2072.700826111236
498,4130,2,3,0,33,2,2793,3,1.3646533590726222,102,1879.0450165670925
499,3503,1,4,0,43,1,7457,2,0.14922760469125684,53,1739.2538730098402
500,1270,5,4,1,18,1,9125,4,6.810943892639785,132,1589.7639062648948
501,2153,4,4,0,30,3,6703,3,5.544093032558899,46,1461.2514455227545
502,3583,6,3,1,26,3,7170,2,3.3765327531486387,50,1948.8279432981628
503,3631,4,2,0,16,3,7644,1,1.7728242853751146,102,2033.3388982590097
504,1157,6,4,2,13,1,8420,3,4.720481691798631,29,1347.575073321042
505,3819,1,4,0,39,3,5155,6,1.092836077541166,59,1889.1846500512102
506,1467,3,1,2,33,2,9411,9,3.427474043289317,73,1538.607964187284
507,1945,2,4,2,26,3,3611,5,3.8541978717327807,23,1261.9491580375566
508,4985,4,2,1,48,2,6691,3,4.709625078895825,25,2136.3363117009967
509,4519,5,2,0,1,1,3593,5,4.719545438254584,92,2253.83098387239
510,3545,6,1,1,49,2,1095,5,2.6443558703953447,77,1605.753389369835
511,1339,5,4,0,38,2,7041,5,8.517088717859677,96,1375.3949417739552
512,3579,3,4,2,2,2,6063,7,3.6198807119417813,38,2098.3505208444108
513,4936,6,4,2,49,1,9437,5,2.3729143580359118,81,2512.2531237021994
514,4575,4,3,0,6,1,4349,7,1.8405178457648435,90,2372.7140656053166
515,3308,1,4,0,46,1,8644,9,3.2935261055830227,44,1943.682956564738
516,3579,5,2,1,38,1,7560,5,0.7687735414775902,146,2114.706646140658
517,1724,3,2,0,42,3,6247,2,0.4257844775116194,77,1221.7831053773755
518,3756,4,3,0,24,1,6356,5,6.090907748348391,139,2160.2857499205957
519,2381,4,3,0,18,2,5077,8,6.229556646886981,130,1788.088319830013
520,4124,4,4,1,27,1,5898,4,5.3429232061190675,95,2133.898040514711
521,1055,4,1,0,41,3,2417,2,7.646623432794071,89,826.327636233856
522,2638,6,3,2,8,3,9846,3,0.487590388343072,85,1995.0468871705264
523,2744,4,3,1,28,3,1110,9,9.36613377127373,139,1707.5666914352312
524,809,5,4,1,10,2,9281,9,1.0411447202448991,106,1622.5362230120845
525,3671,3,4,2,17,1,9954,8,6.7728276444965765,141,2483.4316431233483
526,1597,6,3,2,29,1,8391,8,1.4206262305140123,68,1598.234136182664
527,1815,4,1,2,6,1,6132,8,8.811063789747145,67,1564.6187664812996
528,2624,2,3,0,14,2,3504,8,5.156061540755809,134,1763.988270561413
529,3936,2,4,2,22,2,9289,8,0.9147060560779627,106,2428.304727373439
530,2993,3,4,0,6,3,6239,1,6.2055687157307275,26,1681.2196209491215
531,1023,1,3,1,26,3,1292,6,0.1901884444337964,96,993.0124172763665
532,4958,1,1,1,39,1,2734,9,7.782619566558421,140,2267.564144919667
533,4725,6,3,2,12,2,6120,8,6.540791367796621,143,2685.0155753553713
534,4800,6,3,0,35,2,7393,3,2.2049850186987223,144,2495.135651715413
535,2433,6,4,2,14,1,3196,1,3.8100340701433275,31,1414.9216655299988
536,2952,1,1,2,22,1,4466,2,0.17728627544001363,90,1588.4013806787664
537,1310,2,2,0,23,3,2906,2,6.967469768214929,20,873.6959487360622
538,1184,1,1,2,48,3,2721,7,3.294414561346221,138,1085.6521995801436
539,1204,5,3,1,7,3,2816,6,5.7587302614375195,130,1371.9952714593876
540,2800,4,3,2,40,1,9444,2,9.571603516353182,83,1756.539118566265
541,3556,6,3,0,25,1,5227,8,3.0647204581810916,62,2014.4260455042868
542,2468,2,1,0,13,3,6775,9,9.903355052464452,60,1726.5144449019774
543,2260,3,4,1,21,3,4849,7,6.364011021474908,134,1740.099363677518
544,4436,3,3,0,41,2,6228,4,2.4966777962264994,58,2073.827273054533
545,3524,4,3,0,10,2,7849,1,4.424101041910451,20,1878.5277425702213
546,4978,2,1,1,9,3,2058,4,7.430485911597538,60,2133.4301215685728
547,2848,1,2,2,15,3,3322,4,4.5201312860625045,107,1661.6071733039862
548,4946,1,2,1,2,2,9378,8,0.7782249166813686,117,2775.632105168299
549,1516,5,4,2,25,3,1948,4,1.7691762476871693,107,1272.280107134075
550,2623,5,4,1,13,2,9179,4,7.93384768326106,98,1988.5423172330277
551,2881,1,3,2,34,2,5359,2,6.518893449608807,90,1572.9027134386997
552,4219,3,1,1,34,2,6660,7,5.741272225588124,118,2240.3150489118116
553,2374,6,3,2,35,1,8254,4,1.759457510478473,106,1763.9291222582149
554,1049,3,4,1,38,1,9401,6,8.39379870896836,20,1236.4005673555403
555,1473,5,1,2,3,3,3093,3,9.611327084903875,131,1351.1501712854938
556,2965,4,1,1,42,2,2563,7,0.5047822651576285,93,1585.6253781360213
557,1570,1,4,0,6,1,9217,6,0.8725155194731675,84,1617.7544553038022
558,4762,5,2,2,48,3,1174,3,8.858772582814192,88,1955.5807769913947
559,2784,5,2,1,49,3,2334,4,8.17396731491807,86,1419.7303142729318
560,1877,6,1,2,19,3,1321,5,6.217551109561807,69,1261.0188471685217
561,1035,1,3,2,3,3,6698,9,9.455155568962764,77,1448.4712914146494
562,1188,6,2,1,18,3,6604,6,6.499662722120831,72,1360.3318286212389
563,3837,1,3,2,39,2,7742,4,2.238254229722083,110,2071.806370245608
564,2648,6,2,1,9,3,8436,7,7.313559004797312,134,2110.118042420319
565,3614,3,2,0,12,2,9524,2,6.4925324129818085,137,2196.343184820008
566,4174,4,3,2,5,1,6674,4,9.85887254989929,76,2272.8768071183517
567,4078,4,4,0,3,3,6002,5,2.2175677901104387,105,2308.5569227738815
568,2052,1,2,2,11,1,1910,4,6.01906086998973,37,1216.2557236655139
569,4781,2,2,2,30,2,1949,4,7.823658470028713,35,1946.2825170851083
570,2922,5,3,2,4,2,6425,9,3.4559325844478908,149,2200.6517383472237
571,2950,5,4,1,5,1,3514,2,3.858827872672553,32,1635.3141206660493
572,2129,1,2,0,1,3,8701,6,8.890228199450375,99,1783.2778947603645
573,2158,6,2,2,27,3,1100,8,4.101529308127925,62,1417.018419217251
574,3282,2,4,1,28,1,5646,8,6.284855233766583,73,1899.969880227421
575,2817,3,2,2,29,1,7945,7,8.903457561515573,92,1862.5819194909946
576,2131,6,4,1,18,1,3400,4,2.1772831725965576,67,1471.6459514622138
577,2158,6,4,2,12,3,6801,7,9.820585233890798,37,1747.304188877079
578,3977,1,3,0,13,3,3343,6,7.049339986306225,30,1901.9038068564912
579,2928,1,1,0,41,3,1352,6,5.011604772000303,103,1449.2776582903834
580,2980,5,4,2,2,1,3955,2,4.366113587074877,38,1691.405127553709
581,937,1,3,1,37,3,2018,8,9.548209693959896,119,1044.085082241489
582,4272,1,1,2,45,2,2179,8,2.136675792543697,135,2010.078303442637
583,3632,1,2,1,16,1,6193,7,3.1856642427750175,109,2090.902098798887
584,4379,5,1,2,48,3,4536,9,3.1471482799244552,93,2194.500959924108
585,3831,3,4,1,24,1,3502,8,2.9611627138711887,43,1961.334842407262
586,4964,3,4,0,35,2,4819,9,4.7385266476353225,32,2317.6273403317787
587,3393,1,4,2,22,2,7855,9,9.892874409351549,144,2258.576800101779
588,4618,5,4,0,36,1,1979,6,8.898988990490551,135,2209.7985756283697
589,4938,3,4,0,11,1,1976,2,3.346700726382713,90,2169.8910907183063
590,4623,6,3,2,46,2,3280,7,4.286414145728362,145,2321.486534859833
591,4842,3,4,2,29,1,6897,3,6.72785938922072,138,2447.832852366793
592,2706,3,3,1,35,2,1107,7,0.2698016388964796,110,1541.7742659070032
593,1560,5,2,1,48,2,2626,9,8.219521220987913,104,1243.9180471416107
594,4245,6,4,0,15,3,9895,2,8.810000767388003,127,2494.6896826703733
595,1699,5,4,1,31,1,7229,6,8.586283309812886,146,1647.2922840656481
596,3747,1,1,1,42,1,7877,6,3.813038430166808,140,2087.7103870901365
597,2519,4,2,2,41,3,1874,9,4.67379512290566,148,1623.7145389887498
598,1080,3,4,1,43,2,6543,9,0.2226443868471827,25,1202.0432624300067
599,4066,4,4,0,16,1,4809,5,4.054013945631153,97,2160.176779507211
600,2687,5,2,1,10,3,3107,5,4.6582255414293545,57,1601.2477563385949
601,4066,5,3,0,49,3,1559,9,9.079045501377939,135,2034.9220683569024
602,1466,5,4,2,32,1,9308,8,8.950477970196749,121,1676.327239297465
603,4988,4,1,0,2,3,5969,7,9.664360934470304,27,2413.244024721121
604,1471,5,4,1,24,2,4046,8,8.862539352396151,97,1438.9998810277455
605,2769,1,1,2,23,3,1043,6,0.18118702333369158,131,1563.1239389568743
606,4956,5,1,1,2,2,1508,3,6.450462438088975,74,2180.1084294860225
607,3922,2,4,2,38,2,7107,7,0.7755530627201038,67,2123.7524336417073
608,4700,4,4,2,31,1,4439,8,2.7986834351618555,107,2396.3431819026305
609,1323,2,1,1,40,3,4928,8,5.825245531758745,29,1098.6130443627376
610,3193,5,2,1,26,2,6411,1,7.036076802234635,71,1742.6767163207733
611,3917,1,2,2,29,2,1916,7,6.580857056579243,53,1806.3585840587048
612,3393,3,4,2,3,3,1798,3,0.5856778373455679,80,1812.5491685669272
613,2768,6,3,1,14,2,5971,2,1.1256783087385653,98,1785.2054572981406
614,2553,6,2,0,25,3,2760,2,1.3730094480196067,37,1346.1354217785417
615,3096,5,4,1,48,1,4275,8,1.005002330019942,90,1799.2568274828245
616,3061,1,2,2,1,2,1818,9,1.8645207903662906,105,1825.7586164505246
617,3086,4,3,1,3,2,6040,3,6.916029133984438,51,1813.3159232808002
618,3678,2,4,0,26,3,4065,3,8.325288786475614,62,1780.019076914489
619,4943,2,3,1,18,3,4259,6,4.147257511726762,102,2398.7017069849267
620,4444,2,4,2,9,3,1906,1,6.958536913640601,88,2010.6849981227128
621,2855,4,3,1,38,3,1602,6,2.0801609865316824,69,1515.1410547958994
622,2076,6,2,2,23,2,5295,3,9.73547350117074,31,1364.7592794160141
623,3566,1,2,2,21,1,4527,4,3.5649754762904213,104,1870.5552173123212
624,1102,4,3,1,1,1,5543,9,8.474082371427867,142,1569.1758000167306
625,1438,2,3,2,21,1,2811,3,9.459127089030932,77,1095.4172214742603
626,855,5,3,2,27,1,8963,1,8.660668232465492,102,1244.8621666760807
627,1325,3,4,0,42,3,6249,3,0.7639697502488604,131,1274.7583270640905
628,4923,4,2,0,6,2,5615,7,6.538040857341835,147,2618.842245658464
629,2925,4,4,0,44,2,9916,7,1.2888979950583568,55,1926.2987454227114
630,4087,1,2,0,36,2,7766,5,0.15606370520538748,73,2076.879947891911
631,1164,1,1,2,28,3,1802,1,0.6126560950363676,66,815.892575814453
632,2446,4,4,1,45,2,3582,8,9.169877044825867,134,1645.136277957802
633,1718,2,2,2,17,3,7445,8,9.093788791177898,143,1702.751339800608
634,3597,3,2,2,40,2,4837,2,2.335661438863935,115,1820.7733740738634
635,2331,1,4,2,3,1,9718,3,5.5159060265064,126,1915.2948744684222
636,4145,2,4,1,12,3,2665,4,9.554779796432669,139,2127.6624130118016
637,2706,5,2,0,39,2,9651,1,5.017390683997949,120,1779.796063116348
638,3886,1,4,2,12,1,7975,4,3.9964204194430035,122,2270.2892040030497
639,2875,2,3,2,2,1,3552,5,4.884162071041783,51,1681.8970989562065
640,1513,2,4,0,46,1,8475,3,7.923136039364247,85,1276.3654509604496
641,1862,3,4,2,22,3,3808,2,4.825048562079029,30,1203.712816496073
642,2776,3,4,1,23,3,6633,6,7.854449044695458,56,1765.6230213353172
643,2096,5,2,2,30,2,7096,8,4.373804711845236,121,1752.4047282497484
644,925,2,3,2,5,1,9823,7,2.5948561449926903,68,1494.0133624630407
645,4396,6,1,0,9,2,3456,1,3.3320800252043443,38,1938.4759492227279
646,4083,2,1,2,21,2,6423,4,0.8704522999079428,26,1977.249161349057
647,2403,3,3,2,11,1,5317,3,5.024073329651836,61,1570.6393564221996
648,866,6,3,1,5,2,2556,6,1.5662981564013279,107,1236.1989095621793
649,1032,1,3,0,35,3,3205,9,8.134315362713854,30,963.3924519164461
650,2956,1,2,0,27,2,4955,9,4.263846684153252,60,1726.2329699316729
651,1969,4,1,1,49,1,7805,7,7.6735230075180585,22,1357.0257667143908
652,2958,3,3,2,2,3,1404,9,9.549158232632472,59,1758.0753160224122
653,2293,4,2,0,24,3,2620,8,8.509831702161037,70,1473.6981087943748
654,4807,6,1,0,31,2,3952,5,9.519490429483614,51,2118.7023663567848
655,3272,3,4,2,33,2,9080,9,5.72257161602023,67,2123.664743748753
656,3460,5,2,2,39,3,4118,7,1.7367118964073647,90,1900.212499911654
657,3539,2,1,0,30,2,8380,5,9.360419946418636,108,2006.0498984294688
658,2561,5,2,2,46,1,7630,8,8.698193466908032,128,1833.6953591204367
659,4314,6,1,0,37,2,1565,7,8.657688611562591,54,1897.4583746300768
660,2775,3,1,2,28,2,5799,9,6.963416831346313,127,1872.7703381801844
661,3162,6,4,2,31,3,8670,1,6.2866709956421865,59,1884.2252116991642
662,1676,2,2,1,11,2,3868,9,0.2457665294271818,71,1420.0021325981058
663,4612,1,3,2,23,2,9776,7,7.50573528397235,131,2614.5494350231115
664,4248,1,4,1,2,2,5327,1,1.0061976630797769,58,2062.310668085906
665,2112,6,4,2,40,1,7413,1,2.6715342674155007,87,1514.736841311559
666,2260,4,1,0,41,2,8614,5,5.559753923978235,95,1612.7219483889485
667,3509,3,3,0,27,1,2245,8,4.572152590272812,84,1810.2786891595922
668,3124,3,2,2,35,1,9243,9,0.25616645873731503,81,2055.0720583463517
669,2533,1,3,2,2,1,1537,6,8.257452078671951,21,1408.069697418086
670,2405,5,3,0,39,1,1540,8,8.800129485050672,141,1554.26302032434
671,3363,2,3,2,37,3,1814,6,6.850542140617992,94,1691.8426121783123
672,4221,5,3,1,21,1,2415,6,5.456571800702542,59,2033.8680377215633
673,4317,5,3,1,5,2,2652,4,9.611304605104767,108,2192.700164751622
674,3197,6,1,1,45,1,5062,5,1.2875664567071003,47,1651.6981587493995
675,4535,1,1,1,21,2,3356,2,7.405309531283391,99,2017.9164572522575
676,3670,1,4,1,29,1,4810,3,1.3707700676624588,82,1827.01366712153
677,1960,1,1,2,20,3,1185,3,3.8802635093418156,60,1118.9436453771075
678,1042,6,4,2,38,1,2551,5,5.89629664079269,48,991.6766626278012
679,3390,4,4,1,20,1,8013,5,7.397168135993088,42,1990.5887831179562
680,1863,5,2,2,25,3,1761,6,0.1367893926926415,99,1355.0641249413432
681,3395,6,3,2,2,1,7163,5,2.6799190750805844,70,2121.7896464346895
682,1719,3,1,1,32,2,8635,6,5.428183874957221,131,1594.289597390234
683,805,2,2,2,26,1,4281,8,5.375449423698919,124,1170.3919372115597
684,1267,4,1,2,6,1,2536,2,6.412501705968014,64,1041.1650119003502
685,4970,3,4,2,41,1,7201,4,3.1081504505954025,109,2422.366375002857
686,803,5,1,1,3,3,4164,6,5.451239585780463,108,1249.1532863405678
687,1445,1,3,2,33,1,3770,5,1.9788890966023065,34,1055.3054559461075
688,917,5,4,0,1,1,8399,1,1.9500349225942093,96,1343.7125170346512
689,3728,6,4,0,5,2,4845,9,5.807983237883808,125,2325.043660781269
690,3351,2,2,1,13,1,4435,3,6.886178591948876,109,1805.656166302196
691,1646,6,3,0,19,1,5710,2,1.2919596701447507,106,1413.7409014834896
692,3562,4,4,1,12,1,1561,9,1.3156200288518112,80,1957.189836915386
693,1941,4,3,0,48,1,5717,7,5.696496645458459,127,1489.6986513392312
694,2610,2,1,0,25,2,8623,5,2.7739479476080913,80,1746.1054711995123
695,1523,3,3,0,35,2,8187,6,3.9847511121870327,70,1414.648258168917
696,1024,3,4,1,12,3,3180,4,4.067409631711021,31,1023.4193112561937
697,2848,4,2,1,30,1,2960,1,1.8676733069206723,96,1483.9151375163865
698,2373,4,4,2,5,3,4879,4,0.11301487096320169,131,1795.4456547059638
699,2628,1,3,1,34,3,6153,9,8.546202918693172,85,1747.1830939083734
700,2717,3,3,0,22,1,8035,1,7.178519492087114,134,1781.369641248835
701,2826,2,4,0,39,2,4270,3,6.936331725344099,49,1440.827061697464
702,4544,3,3,1,13,2,5687,5,5.510400867321865,124,2378.994512865403
703,1701,1,1,1,47,1,1582,7,7.039599580323392,50,973.1970814553088
704,2839,6,4,1,3,1,1288,9,9.363314937721496,32,1720.5035827876893
705,809,4,2,2,20,2,6664,6,6.690169988669982,147,1370.2436644520546
706,1060,4,4,0,31,1,8979,3,2.7244048790817548,120,1372.1747835425408
707,2473,1,1,2,5,1,4859,7,5.74854451223489,86,1647.3794732934982
708,3019,2,1,2,24,1,4060,4,4.47901159332548,99,1646.3484688385608
709,2860,4,1,0,40,2,2183,3,5.60854939801028,122,1452.4125674215761
